group,metric,metric_label,comparison,n,rate_normal,rate_missing,risk_diff,discordant_10,discordant_01,mcnemar_stat,mcnemar_pvalue,exact_test,rate_wrong,mcnemar_pvalue_holm
Open-Ended,any-vital-wrong,Any vital subclaim wrong,normal vs missing,3726,0.5270288022285521,0.45478751846655113,0.07224128376200095,493,270,64.59239842726082,9.21100301215324e-16,False,,3.684401204861296e-15
Open-Ended,any-vital-wrong,Any vital subclaim wrong,normal vs wrong,3726,0.5270288022285521,,-0.21087515405420143,165,1097,686.8153724247227,2.2020483340578713e-151,False,0.7379039562827535,1.1010241670289357e-150
Open-Ended,any-vital-wrong,Any vital subclaim wrong,missing vs wrong,3726,,0.45478751846655113,-0.2831164378162024,170,1325,890.7799331103679,9.912059394133697e-196,False,0.7379039562827535,5.947235636480218e-195
Open-Ended,any-vital-nuggets-unsupported,Any vital nugget unsupported,normal vs missing,3726,0.8722038152518947,0.9117596918137026,-0.03955587656180792,21,111,60.00757575757576,9.44929658795296e-15,False,,2.8347889763858882e-14
Open-Ended,any-vital-nuggets-unsupported,Any vital nugget unsupported,normal vs wrong,3726,0.8722038152518947,,-0.013550823784846955,24,60,14.583333333333334,0.00013409532032314307,False,0.8857546390367417,0.00013409532032314307
Open-Ended,any-vital-nuggets-unsupported,Any vital nugget unsupported,missing vs wrong,3726,,0.9117596918137026,0.02600505277696097,93,39,21.28030303030303,3.967877451649115e-06,False,0.8857546390367417,7.93575490329823e-06
Single-Answer,any-vital-wrong,Any vital subclaim wrong,normal vs missing,3000,0.4503333333333333,0.4216666666666667,0.028666666666666618,388,302,10.471014492753623,0.0012126210945869456,False,,0.002425242189173891
Single-Answer,any-vital-wrong,Any vital subclaim wrong,normal vs wrong,3000,0.4503333333333333,,-0.445,59,1394,1224.7460426703371,2.554695412165117e-268,False,0.8953333333333333,1.2773477060825584e-267
Single-Answer,any-vital-wrong,Any vital subclaim wrong,missing vs wrong,3000,,0.4216666666666667,-0.4736666666666666,57,1478,1313.615635179153,1.242696496013596e-287,False,0.8953333333333333,7.456178976081576e-287
Single-Answer,any-vital-nuggets-unsupported,Any vital nugget unsupported,normal vs missing,3000,0.543,0.6809999999999999,-0.1379999999999999,54,468,326.7605363984674,4.8792970428571936e-73,False,,1.463789112857158e-72
Single-Answer,any-vital-nuggets-unsupported,Any vital nugget unsupported,normal vs wrong,3000,0.543,,-0.1413333333333333,42,466,352.2224409448819,1.3905157660233085e-78,False,0.6843333333333333,5.562063064093234e-78
Single-Answer,any-vital-nuggets-unsupported,Any vital nugget unsupported,missing vs wrong,3000,,0.6809999999999999,-0.0033333333333334103,258,268,0.15399239543726237,0.694748909540239,False,0.6843333333333333,0.694748909540239
All,any-vital-wrong,Any vital subclaim wrong,normal vs missing,6726,0.5028091804721674,0.4443283021086928,0.0584808783634746,881,572,65.2883688919477,6.4702097418645695e-16,False,,1.2940419483729139e-15
All,any-vital-wrong,Any vital subclaim wrong,normal vs wrong,6726,0.5028091804721674,,-0.2848093159318218,224,2491,1891.2545119705342,0.0,False,0.7876184964039892,0.0
All,any-vital-wrong,Any vital subclaim wrong,missing vs wrong,6726,,0.4443283021086928,-0.3432901942952964,227,2803,2188.325082508251,0.0,False,0.7876184964039892,0.0
All,any-vital-nuggets-unsupported,Any vital nugget unsupported,normal vs missing,6726,0.7682447156986649,0.8388882101883229,-0.07064349448965801,75,579,386.8639143730887,3.98670298832687e-86,False,,1.594681195330748e-85
All,any-vital-nuggets-unsupported,Any vital nugget unsupported,normal vs wrong,6726,0.7682447156986649,,-0.05390319522121101,66,526,355.88006756756755,2.2217826144585476e-79,False,0.8221479109198759,6.665347843375642e-79
All,any-vital-nuggets-unsupported,Any vital nugget unsupported,missing vs wrong,6726,,0.8388882101883229,0.016740299268447,351,307,2.810030395136778,0.09367660081936541,False,0.8221479109198759,0.09367660081936541
