group,metric,metric_label,comparison,n,mean_normal,mean_missing,mean_diff,std_diff,t_stat,t_pvalue,cohens_dz,wilcoxon_stat,wilcoxon_pvalue,rank_biserial_r,mean_wrong,t_pvalue_holm,wilcoxon_pvalue_holm
Open-Ended,factscore,Factscore (precision),normal vs missing,3661,0.835867938470453,0.8356219748237863,0.0018042505128252754,0.06689419349803932,1.6319553778199807,0.102774914949407,0.026971705890708707,1324739.5,0.014787351541719826,0.05779752959275336,,0.30832474484822103,0.04436205462515948
Open-Ended,factscore,Factscore (precision),normal vs wrong,3661,0.835867938470453,,0.04277156571296873,0.05531684381589366,46.784028996288576,0.0,0.773210522554788,548087.0,0.0,0.8235122885824459,0.7878517198794339,0.0,0.0
Open-Ended,factscore,Factscore (precision),missing vs wrong,3661,,0.8356219748237863,0.040967315200143455,0.07449438426690662,33.27467581127524,2.424020241260218e-212,0.5499383021055826,1006185.0,2.083782229514141e-276,0.6857062133921699,0.7878517198794339,2.908824289512262e-211,2.7089168983683834e-275
Open-Ended,vital-precision,Vital Precision,normal vs missing,3726,0.8269238895932649,0.828842399226281,-0.0008940663779652367,0.13215058972037735,-0.41297340356238454,0.6796498691226658,-0.006765511829020416,649623.5,0.5073415845288369,-0.01897570029100453,,1.0,1.0
Open-Ended,vital-precision,Vital Precision,normal vs wrong,3726,0.8269238895932649,,0.053096406197886074,0.13919547185088696,23.284206638855814,4.503829695169494e-112,0.38145210826086035,591794.5,4.148925063951646e-143,0.5972954305739853,0.7539674175681725,3.152680786618646e-111,3.7340325575564814e-142
Open-Ended,vital-precision,Vital Precision,missing vs wrong,3726,,0.828842399226281,0.05399047257585131,0.16232077393498348,20.303197974578,5.236190323735164e-87,0.33261591395243617,700908.5,7.916453357050162e-116,0.5334936700604275,0.7539674175681725,2.618095161867582e-86,5.541517349935114e-115
Open-Ended,linear-decay-precision,Linear-Decay Precision,normal vs missing,3726,0.8359289501544445,0.8380691105910919,0.000454861378822241,0.12061584040333746,0.23019513537293076,0.8179527819324903,0.003771157895191807,1390472.0,0.6667791686310387,0.010211646708558229,,1.0,1.0
Open-Ended,linear-decay-precision,Linear-Decay Precision,normal vs wrong,3726,0.8359289501544445,,0.0830844645595904,0.15935261415438953,31.82599998714905,7.868266376025722e-197,0.5213875216323318,883379.0,1.5934909479778468e-299,0.7179518616609435,0.7320544321686187,8.655093013628293e-196,2.2308873271689855e-298
Open-Ended,linear-decay-precision,Linear-Decay Precision,missing vs wrong,3726,,0.8380691105910919,0.08262960318076815,0.17123642031688374,29.45513055567355,1.3043539025751949e-171,0.4825468964362656,1022107.0,5.775846446572405e-264,0.6736583317768273,0.7320544321686187,1.3043539025751948e-170,6.931015735886886e-263
Open-Ended,nuggets-strict-all,Nuggets Recall (strict-all),normal vs missing,3726,0.24353317714437914,0.18614227260652283,0.05370713347941221,0.06754037413040705,48.53890073241732,0.0,0.7951856081773311,150533.5,0.0,0.9217225220746663,,0.0,0.0
Open-Ended,nuggets-strict-all,Nuggets Recall (strict-all),normal vs wrong,3726,0.24353317714437914,,0.012531811012831436,0.039381484902043636,19.424201501781837,3.913634945921762e-80,0.3182158073521783,379678.5,3.7419057047054277e-85,0.5294328706716094,0.23234449330973964,1.5654539783687047e-79,1.496762281882171e-84
Open-Ended,nuggets-strict-all,Nuggets Recall (strict-all),missing vs wrong,3726,,0.18614227260652283,-0.04117532246658077,0.06961717496912165,-36.102895848391974,5.197255249614974e-245,-0.5914535096381587,315943.5,1.4701562698424794e-263,-0.7990039373009162,0.23234449330973964,7.276157349460964e-244,1.6171718968267273e-262
